ID,Produkt,Produktart (Lieferprogramm),Bereich Neubau,Bereich Sanierung,Hinweis / Flag
koromineral-li,KOROMINERAL Li+,Imprägnierung/Einpflege,Inbo,Inbo,Hilfsprodukt
koroclean,KOROCLEAN,Imprägnierung/Einpflege,—,Inbo,Reinigungsschliff/Pflege (System MKS Funke)
koromineral-lasur,KOROMINERAL Lasur,Imprägnierung/Einpflege,Inbo,—,⚠ „Lasur“ nicht im Lieferprogramm gelistet — App↔LP klären
korodur-durop,KORODUR DUROP,DUROP (Kunstharz-Zuschlag),Inbo,—,LP9 auch „Straßen- und Brückenbau“ → Neubau-Infrastruktur? (Infrastruktur derzeit nur Sanierungs-Bereich)
korodur-robust,KORODUR Robust,DUROP (Kunstharz-Zuschlag),Inbo,—,⚠ „Robust“ nicht im Lieferprogramm gelistet — App↔LP klären
korodur-silosystem,KORODUR Silosystem,— (Liefersystem),Inbo,Inbo,Kein einzelnes LP-Produkt — Liefer-/Silosystem
system-korodur-korotan,System KORODUR-KOROTAN,— (System),Inbo,Inbo,Kein einzelnes LP-Produkt — System
tru-self-leveling,TRU Self-Leveling,Mineralische Sichtestriche,Designestrich,—,
tru-pc,TRU PC,Mineralische Sichtestriche,Designestrich,—,Betonoptik
tru-sp,TRU SP,Mineralische Sichtestriche,Designestrich,—,Salz-Pfeffer-Optik
granidur,GRANIDUR,Mineralische Sichtestriche,Designestrich,—,Granitoptik geschliffen
granidur-bianco-nero,GRANIDUR BIANCO/NERO,Mineralische Sichtestriche,Designestrich,—,
kcf,KORODUR COPETTI FLOOR KCF,Mineralische Sichtestriche,Designestrich,—,Marmoroptik (Copetti)
microtop-tw-3,MICROTOP TW 3,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,
microtop-tw-5,MICROTOP TW 5,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,
microtop-tw-8,MICROTOP TW 8,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,
microtop-tw-nsm,MICROTOP TW NSM,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,
microtop-tw-02,MICROTOP TW 02,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,
microtop-tw-vsm,MICROTOP TW VSM,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,Vorspritzmörtel
microtop-tw-bm,MICROTOP TW BM,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,Auskleidung
microtop-tw-mineral,MICROTOP TW Mineral,MICROTOP / TW-Behältersanierung,—,TW-Behältersanierung,Oberflächenvergütung
rapid-set-cement-all,Rapid Set CEMENT ALL,Rapid Set,—,Betonsanierung,auch Verguss/Verankerung; Infrastruktur möglich
rapid-set-mortar-mix,Rapid Set MORTAR MIX,Rapid Set,—,Betonsanierung,
rapid-set-mortar-mix-dur,Rapid Set MORTAR MIX DUR,Rapid Set,—,Betonsanierung+Inbo,Bodensanierungen >15mm → auch Inbo-Sanierung
asphalt-repair-mix,ASPHALT REPAIR MIX,Rapid Set,—,Infrastruktur,Straßen/Verkehrsflächen
dot-europe-concrete-mix,DOT Europe CONCRETE MIX,Rapid Set,—,Infrastruktur+Betonsanierung,"EN 1504-3, Straßen-/Brückenbau"
rapid-set-concrete-mix,Rapid Set CONCRETE MIX,Rapid Set,—,Infrastruktur+Betonsanierung,Gehwege/Fahrbahnen/Fundamente
rapid-set-schnellbeton,Rapid Set Schnellbeton,Rapid Set,—,Infrastruktur+Betonsanierung,App-Bezeichnung; LP10 CONCRETE MIX?
korocrete,KOROCRETE Schnellbeton,Rapid Set,—,Infrastruktur+Betonsanierung,heute bereich rapid-set + zusatz infrastruktur
rapid-set-concrete-pharmacy,Rapid Set CONCRETE PHARMACY,— (App),—,Betonsanierung,⚠ „CONCRETE PHARMACY“ nicht im Lieferprogramm — App↔LP klären
neodur-vm-1,NEODUR VM 1 / VM 3 / VB 8,Spezialmörtel,Inbo?,Infrastruktur?,"⚠ Verguss (Untergießen Maschinen/Stahlbau) — kein klarer Use-Case-Bereich, Frank entscheiden"
neodur-vm-5,NEODUR VM 5,Spezialmörtel,Inbo?,Infrastruktur?,⚠ Verguss — Heimat klären
neodur-vm-basic,NEODUR VM basic,Spezialmörtel,Inbo?,Infrastruktur?,⚠ Verguss — Heimat klären
neodur-svm-03,NEODUR SVM 03,Spezialmörtel,Inbo?,Infrastruktur?,⚠ Schnellverguss — Heimat klären
neodur-svm-4,NEODUR SVM 4,Spezialmörtel,Inbo?,Infrastruktur?,⚠ Schnellverguss — Heimat klären
neodur-msm-3,NEODUR MSM 3,Spezialmörtel,—,Betonsanierung,Microsilica-Spritzmörtel „Neubau und Instandsetzung“; auch Infrastruktur
neodur-msm-5,NEODUR MSM 5,Spezialmörtel,—,Betonsanierung,Spritzmörtel; auch Infrastruktur
neodur-msb-8,NEODUR MSB 8,Spezialmörtel,—,Betonsanierung,Spritzbeton; auch Infrastruktur
neodur-pfm-1k-easyfix,NEODUR PFM 1K Easyfix,Spezialmörtel,—,Infrastruktur,Pflasterfugen Fußgängerbereiche
neodur-pfm-ze,NEODUR PFM-ZE,Spezialmörtel,—,Infrastruktur,Pflasterfugen mittel/schwer
goodcat-golden-nature,goodcat golden nature,Katzenstreu (separat),—,—,optisch abgegrenzt
goodcat-organic-love,goodcat organic love,Katzenstreu (separat),—,—,optisch abgegrenzt
goodcat-silver-classic,goodcat silver classic,Katzenstreu (separat),—,—,optisch abgegrenzt
